ID,Class,Timestamp,Line Bound
1,truck,00:04.1,Red Line Bound
3,car,00:04.2,Red Line Bound
4,car,00:28.8,Red Line Bound
8,car,00:34.9,Red Line Bound
11,car,00:56.4,Red Line Bound
20,motorcycle,00:57.5,Red Line Bound
9,car,01:01.9,Red Line Bound
28,car,01:10.6,Red Line Bound
29,car,01:24.0,Red Line Bound
30,truck,01:24.5,Red Line Bound
34,car,01:29.8,Red Line Bound
36,car,01:41.7,Red Line Bound
37,car,01:43.3,Red Line Bound
38,car,01:43.4,Red Line Bound
39,car,01:59.5,Red Line Bound
40,car,02:04.9,Red Line Bound
44,truck,02:06.1,Red Line Bound
41,truck,02:06.8,Red Line Bound
49,car,02:08.9,Red Line Bound
51,car,02:09.7,Red Line Bound
53,car,02:09.8,Red Line Bound
52,car,02:10.6,Red Line Bound
56,truck,02:12.8,Red Line Bound
59,car,02:15.0,Red Line Bound
60,car,02:17.4,Red Line Bound
62,car,02:26.6,Red Line Bound
63,car,02:34.1,Red Line Bound
65,car,02:34.3,Red Line Bound
64,car,02:34.9,Red Line Bound
66,car,02:38.1,Red Line Bound
69,car,02:38.7,Red Line Bound
70,car,02:43.7,Red Line Bound
73,truck,02:57.1,Red Line Bound
75,car,03:02.7,Red Line Bound
76,car,03:13.5,Red Line Bound
78,car,03:19.1,Red Line Bound
79,car,03:25.7,Red Line Bound
80,car,03:25.8,Red Line Bound
81,car,03:28.6,Red Line Bound
82,truck,03:28.8,Red Line Bound
86,car,03:31.8,Red Line Bound
88,car,03:36.7,Red Line Bound
90,car,03:40.7,Red Line Bound
91,truck,03:44.9,Red Line Bound
95,truck,03:47.7,Red Line Bound
98,car,03:48.7,Red Line Bound
100,car,03:55.5,Red Line Bound
101,truck,04:05.1,Red Line Bound
103,car,04:07.1,Red Line Bound
105,car,04:08.5,Red Line Bound
104,car,04:09.6,Red Line Bound
109,car,04:12.5,Red Line Bound
113,car,04:21.1,Red Line Bound
117,car,04:26.1,Red Line Bound
119,car,04:26.7,Red Line Bound
118,car,04:28.4,Red Line Bound
120,car,04:30.0,Red Line Bound
121,car,04:48.7,Red Line Bound
123,car,04:58.4,Red Line Bound
124,car,05:04.7,Red Line Bound
125,car,05:09.3,Red Line Bound
127,truck,05:10.5,Red Line Bound
129,truck,05:11.3,Red Line Bound
130,truck,05:13.7,Red Line Bound
133,car,05:14.7,Red Line Bound
137,car,05:25.1,Red Line Bound
138,car,05:25.7,Red Line Bound
140,car,05:27.9,Red Line Bound
139,truck,05:28.0,Red Line Bound
143,car,05:33.5,Red Line Bound
144,car,05:39.0,Red Line Bound
145,car,05:40.5,Red Line Bound
146,car,05:44.3,Red Line Bound
149,car,05:48.3,Red Line Bound
154,car,05:53.1,Red Line Bound
155,car,05:57.5,Red Line Bound
156,truck,06:02.7,Red Line Bound
157,car,06:04.9,Red Line Bound
159,car,06:16.7,Red Line Bound
158,car,06:19.6,Red Line Bound
162,car,06:25.1,Red Line Bound
164,car,06:41.5,Red Line Bound
163,car,06:43.1,Red Line Bound
167,car,06:45.2,Red Line Bound
168,truck,06:51.8,Red Line Bound
170,car,06:52.0,Red Line Bound
171,car,06:54.3,Red Line Bound
174,person,06:57.6,Blue Line Bound
177,car,06:58.5,Red Line Bound
178,car,07:00.7,Red Line Bound
180,car,07:07.5,Red Line Bound
181,car,07:13.0,Red Line Bound
184,car,07:37.1,Red Line Bound
185,car,07:37.6,Red Line Bound
190,car,07:43.0,Red Line Bound
191,car,07:44.7,Red Line Bound
192,car,07:55.3,Red Line Bound
195,truck,08:04.9,Red Line Bound
198,car,08:12.4,Red Line Bound
199,truck,08:22.0,Red Line Bound
200,truck,08:23.9,Red Line Bound
206,car,08:34.1,Red Line Bound
207,truck,08:35.1,Red Line Bound
208,car,08:37.0,Red Line Bound
210,car,08:40.5,Red Line Bound
211,car,08:45.6,Red Line Bound
213,car,08:48.3,Red Line Bound
214,car,08:51.2,Red Line Bound
216,car,08:52.9,Red Line Bound
217,car,08:53.0,Red Line Bound
218,car,08:54.3,Red Line Bound
220,car,08:56.3,Red Line Bound
225,bus,08:59.2,Red Line Bound
234,truck,09:00.9,Red Line Bound
230,car,09:01.5,Red Line Bound
235,car,09:03.3,Red Line Bound
246,car,09:05.9,Red Line Bound
243,car,09:06.3,Red Line Bound
245,car,09:07.5,Red Line Bound
250,car,09:07.9,Red Line Bound
249,car,09:09.9,Red Line Bound
252,truck,09:11.8,Red Line Bound
258,car,09:14.7,Red Line Bound
260,car,09:16.1,Red Line Bound
251,car,09:19.9,Red Line Bound
267,truck,09:20.1,Red Line Bound
269,car,09:27.1,Red Line Bound
270,car,09:28.9,Red Line Bound
271,car,09:41.9,Red Line Bound
273,truck,09:47.1,Red Line Bound
276,truck,09:47.2,Red Line Bound
278,truck,09:53.9,Red Line Bound
280,car,09:54.1,Red Line Bound
282,car,10:20.7,Red Line Bound
283,car,10:22.7,Red Line Bound
284,car,10:25.5,Red Line Bound
289,car,10:26.1,Red Line Bound
290,car,10:27.5,Red Line Bound
292,car,10:30.5,Red Line Bound
295,bus,10:37.0,Red Line Bound
297,truck,10:38.1,Red Line Bound
294,car,10:39.6,Red Line Bound
300,person,10:42.7,Blue Line Bound
293,truck,10:45.0,Red Line Bound
303,truck,11:01.9,Red Line Bound
305,car,11:04.1,Red Line Bound
309,car,11:09.8,Red Line Bound
311,truck,11:14.0,Red Line Bound
313,car,11:16.1,Red Line Bound
314,car,11:17.3,Red Line Bound
315,car,11:18.5,Red Line Bound
319,car,11:25.2,Red Line Bound
321,car,11:30.3,Red Line Bound
320,car,11:33.9,Red Line Bound
324,car,11:58.8,Red Line Bound
322,car,11:59.7,Red Line Bound
323,car,11:59.9,Red Line Bound
326,car,12:01.3,Red Line Bound
325,car,12:02.5,Red Line Bound
336,truck,12:07.5,Red Line Bound
338,car,12:14.3,Red Line Bound
337,car,12:14.7,Red Line Bound
341,car,12:17.7,Red Line Bound
344,car,12:18.1,Red Line Bound
348,car,12:23.7,Red Line Bound
350,car,12:33.6,Red Line Bound
