ID,Class,Timestamp,Line Bound
1,car,00:00:00.199,Red Line Bound
2,car,00:00:01.799,Red Line Bound
3,car,00:00:04.599,Red Line Bound
5,car,00:00:08.666,Red Line Bound
9,car,00:00:09.133,Red Line Bound
8,car,00:00:10.466,Red Line Bound
11,car,00:00:13.533,Red Line Bound
13,car,00:00:14.133,Red Line Bound
17,car,00:00:14.866,Red Line Bound
15,car,00:00:15.133,Red Line Bound
22,truck,00:00:19.866,Red Line Bound
26,car,00:00:26.399,Red Line Bound
27,car,00:00:30.533,Red Line Bound
29,car,00:00:32.199,Red Line Bound
30,car,00:00:33.133,Red Line Bound
33,car,00:00:33.933,Red Line Bound
32,car,00:00:34.066,Red Line Bound
37,car,00:00:35.599,Red Line Bound
36,car,00:00:35.866,Red Line Bound
44,car,00:00:36.266,Red Line Bound
49,car,00:00:42.599,Red Line Bound
53,car,00:00:42.999,Red Line Bound
51,bus,00:00:43.733,Red Line Bound
57,truck,00:00:49.066,Red Line Bound
60,car,00:00:50.599,Red Line Bound
69,car,00:00:52.333,Red Line Bound
72,car,00:00:53.999,Red Line Bound
73,car,00:00:54.799,Red Line Bound
76,car,00:00:56.599,Red Line Bound
74,car,00:00:59.066,Red Line Bound
82,car,00:01:02.999,Red Line Bound
83,person,00:01:09.933,Blue Line Bound
85,truck,00:01:10.266,Red Line Bound
90,car,00:01:14.533,Red Line Bound
93,car,00:01:22.799,Red Line Bound
97,truck,00:01:24.533,Red Line Bound
101,car,00:01:25.466,Red Line Bound
104,car,00:01:26.266,Red Line Bound
107,car,00:01:26.733,Red Line Bound
109,car,00:01:28.399,Red Line Bound
114,car,00:01:29.733,Red Line Bound
112,car,00:01:30.199,Red Line Bound
117,car,00:01:31.399,Red Line Bound
119,car,00:01:32.199,Red Line Bound
121,car,00:01:33.999,Red Line Bound
120,car,00:01:34.066,Red Line Bound
133,truck,00:01:34.133,Red Line Bound
129,car,00:01:35.199,Red Line Bound
127,car,00:01:35.333,Red Line Bound
134,truck,00:01:35.533,Red Line Bound
126,car,00:01:36.199,Red Line Bound
140,car,00:01:36.533,Red Line Bound
132,car,00:01:36.733,Red Line Bound
138,car,00:01:36.999,Red Line Bound
143,car,00:01:38.266,Red Line Bound
144,car,00:01:38.599,Red Line Bound
145,car,00:01:38.599,Red Line Bound
151,car,00:01:42.199,Red Line Bound
152,car,00:01:44.399,Red Line Bound
153,car,00:01:44.533,Red Line Bound
156,car,00:01:46.333,Red Line Bound
157,car,00:01:47.799,Red Line Bound
159,person,00:01:48.533,Blue Line Bound
163,car,00:01:49.066,Red Line Bound
161,car,00:01:49.399,Red Line Bound
162,car,00:01:51.133,Red Line Bound
165,car,00:01:53.133,Red Line Bound
166,car,00:01:55.466,Red Line Bound
169,car,00:01:57.799,Red Line Bound
171,car,00:02:00.333,Red Line Bound
173,car,00:02:03.399,Red Line Bound
172,car,00:02:03.933,Red Line Bound
176,car,00:02:09.533,Red Line Bound
178,car,00:02:14.333,Red Line Bound
179,car,00:02:20.333,Red Line Bound
180,car,00:02:28.133,Red Line Bound
182,car,00:02:34.333,Red Line Bound
184,car,00:02:36.999,Red Line Bound
186,car,00:02:39.733,Red Line Bound
183,car,00:02:42.466,Red Line Bound
189,car,00:02:46.266,Red Line Bound
188,bus,00:02:47.266,Red Line Bound
195,car,00:02:48.133,Red Line Bound
190,truck,00:02:48.599,Red Line Bound
197,car,00:02:48.666,Red Line Bound
198,car,00:02:49.799,Red Line Bound
199,car,00:02:50.133,Red Line Bound
200,car,00:02:51.533,Red Line Bound
203,car,00:02:54.333,Red Line Bound
206,car,00:02:56.133,Red Line Bound
208,car,00:03:00.199,Red Line Bound
218,car,00:03:18.466,Red Line Bound
221,car,00:03:23.333,Red Line Bound
222,car,00:03:24.333,Red Line Bound
226,truck,00:03:26.799,Red Line Bound
224,car,00:03:26.933,Red Line Bound
236,truck,00:03:27.866,Red Line Bound
235,truck,00:03:28.399,Red Line Bound
237,car,00:03:30.799,Red Line Bound
242,truck,00:03:33.533,Red Line Bound
252,truck,00:03:35.199,Red Line Bound
247,car,00:03:35.599,Red Line Bound
250,truck,00:03:36.333,Red Line Bound
266,truck,00:03:37.533,Red Line Bound
267,truck,00:03:38.999,Red Line Bound
253,person,00:03:40.533,Blue Line Bound
268,car,00:03:41.133,Red Line Bound
275,car,00:03:43.866,Red Line Bound
282,car,00:03:50.333,Red Line Bound
223,car,00:03:54.133,Red Line Bound
288,car,00:04:02.933,Red Line Bound
287,car,00:04:05.733,Red Line Bound
289,car,00:04:08.066,Red Line Bound
293,car,00:04:10.266,Red Line Bound
292,car,00:04:10.466,Red Line Bound
294,car,00:04:12.399,Red Line Bound
286,truck,00:04:13.599,Red Line Bound
301,car,00:04:16.133,Red Line Bound
311,car,00:04:21.733,Red Line Bound
310,car,00:04:24.733,Red Line Bound
315,car,00:04:29.066,Red Line Bound
317,car,00:04:30.266,Red Line Bound
314,person,00:04:35.399,Blue Line Bound
323,car,00:04:39.999,Red Line Bound
324,car,00:04:42.066,Red Line Bound
325,car,00:04:42.466,Red Line Bound
326,truck,00:04:45.399,Red Line Bound
332,car,00:04:47.466,Red Line Bound
334,car,00:04:47.799,Red Line Bound
336,car,00:04:49.866,Red Line Bound
341,truck,00:04:50.466,Red Line Bound
339,car,00:04:52.399,Red Line Bound
344,car,00:04:53.333,Red Line Bound
346,car,00:04:55.599,Red Line Bound
327,person,00:04:55.599,Blue Line Bound
347,car,00:04:57.399,Red Line Bound
349,car,00:04:58.399,Red Line Bound
356,car,00:04:59.733,Red Line Bound
360,car,00:05:01.399,Red Line Bound
362,car,00:05:02.599,Red Line Bound
367,car,00:05:03.533,Red Line Bound
369,car,00:05:05.533,Red Line Bound
371,car,00:05:06.666,Red Line Bound
378,car,00:05:11.533,Red Line Bound
383,car,00:05:14.666,Red Line Bound
387,car,00:05:21.133,Red Line Bound
382,person,00:05:26.866,Blue Line Bound
385,car,00:05:27.866,Red Line Bound
397,truck,00:05:30.399,Red Line Bound
391,car,00:05:30.533,Red Line Bound
399,car,00:05:34.333,Red Line Bound
400,car,00:05:36.133,Red Line Bound
403,car,00:05:38.733,Red Line Bound
401,car,00:05:40.266,Red Line Bound
407,car,00:05:40.266,Red Line Bound
416,car,00:05:43.266,Red Line Bound
413,car,00:05:43.466,Red Line Bound
422,car,00:05:47.599,Red Line Bound
421,car,00:05:48.866,Red Line Bound
420,car,00:05:50.733,Red Line Bound
424,truck,00:05:53.933,Red Line Bound
427,car,00:05:55.333,Red Line Bound
426,car,00:05:56.066,Red Line Bound
429,car,00:05:56.333,Red Line Bound
430,car,00:05:58.666,Red Line Bound
433,car,00:06:00.133,Red Line Bound
435,car,00:06:02.199,Red Line Bound
436,car,00:06:03.866,Red Line Bound
442,car,00:06:06.533,Red Line Bound
439,truck,00:06:07.333,Red Line Bound
445,car,00:06:08.533,Red Line Bound
450,car,00:06:17.933,Red Line Bound
453,car,00:06:20.199,Red Line Bound
454,car,00:06:21.666,Red Line Bound
457,car,00:06:23.666,Red Line Bound
458,truck,00:06:24.866,Red Line Bound
459,car,00:06:24.933,Red Line Bound
456,car,00:06:25.333,Red Line Bound
460,car,00:06:27.599,Red Line Bound
464,car,00:06:29.266,Red Line Bound
465,car,00:06:29.399,Red Line Bound
471,truck,00:06:39.133,Red Line Bound
472,truck,00:06:42.266,Red Line Bound
478,truck,00:06:44.066,Red Line Bound
483,truck,00:06:52.599,Red Line Bound
487,car,00:06:56.466,Red Line Bound
488,car,00:06:58.333,Red Line Bound
493,car,00:06:59.399,Red Line Bound
497,car,00:07:01.266,Red Line Bound
500,truck,00:07:02.399,Red Line Bound
511,car,00:07:04.133,Red Line Bound
517,car,00:07:07.599,Red Line Bound
508,truck,00:07:09.133,Red Line Bound
485,car,00:07:12.133,Red Line Bound
522,car,00:07:16.333,Red Line Bound
526,car,00:07:19.199,Red Line Bound
528,truck,00:07:22.066,Red Line Bound
532,truck,00:07:22.599,Red Line Bound
539,car,00:07:26.933,Red Line Bound
540,truck,00:07:27.999,Red Line Bound
541,car,00:07:28.533,Red Line Bound
548,car,00:07:34.733,Red Line Bound
551,car,00:07:36.866,Red Line Bound
552,truck,00:07:41.266,Red Line Bound
553,car,00:07:46.599,Red Line Bound
555,truck,00:07:52.933,Red Line Bound
557,car,00:07:59.866,Red Line Bound
558,truck,00:08:04.399,Red Line Bound
563,car,00:08:07.866,Red Line Bound
564,car,00:08:10.533,Red Line Bound
565,car,00:08:11.399,Red Line Bound
568,car,00:08:15.599,Red Line Bound
567,car,00:08:15.933,Red Line Bound
570,truck,00:08:16.466,Red Line Bound
574,car,00:08:17.333,Red Line Bound
576,car,00:08:17.733,Red Line Bound
577,car,00:08:18.666,Red Line Bound
580,car,00:08:18.733,Red Line Bound
581,car,00:08:20.466,Red Line Bound
583,car,00:08:22.133,Red Line Bound
584,car,00:08:23.266,Red Line Bound
585,car,00:08:24.866,Red Line Bound
586,car,00:08:26.133,Red Line Bound
588,car,00:08:26.333,Red Line Bound
591,car,00:08:26.999,Red Line Bound
592,car,00:08:28.799,Red Line Bound
593,car,00:08:29.799,Red Line Bound
594,car,00:08:31.533,Red Line Bound
601,car,00:08:34.733,Red Line Bound
607,truck,00:08:37.999,Red Line Bound
613,car,00:08:42.999,Red Line Bound
618,car,00:08:49.866,Red Line Bound
620,car,00:08:51.933,Red Line Bound
